Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
COSMETIC FASHION CORPORATION SA,0.173548352,0.028524,0.093218,0.327255,0.152158,1.757828,1.553538,0
COSMOFLOWER S.A.S.,0.018488852,0.005134,0.034764,0.223652,0.08858,0.501894,1.276341,0
CROYDON COLOMBIA SA,0.085285389,0.026199,0.038788,0.1123,0.074196,1.033454,0.841933,0
Clarke Modet & Co Colombia S.A.S.,0.121921593,0,0.064896,0.409835,0.327427,0,0.156324,0
Colproplas SAS,0.054698457,0.017194,0.014425,0.232077,0.232823,0.992466,1.082231,0
Conyca Soluciones SAS,0.081465624,0.008258,0.056884,0.216061,0.020815,1.15648,1.490035,0
DESCOCO S.A.,0.185703176,0.01871,0.118085,0.020261,0.214276,0,2.43327,0
DICO EXHIBICION Y DISEÑO COMERCIAL SAS,-0.003144482,0,-0.003144,0.23613,0.09924,-0.147072,1.326424,0
DISCOLACTEOS S.A.S.,0.00376417,0.001236,0.000886,0.008527,0.042726,0,1.628798,0
DISEÑOS Y CONSTRUCCIONES DYCO SAS,0.034316995,0,0.027087,0.408942,0.190969,0.051654,0.146395,0
DISPETROCOM SAS,0.016988789,0.006311,0.005453,0.125154,0.163495,0.766887,0.160705,0
DISPROQOL SAS,-0.007049442,0,0.006832,0.23152,0.295533,-0.056809,0.871448,0
DISTRIAVICOLA LTDA,0.041738397,0,0.025607,0.266735,0.246195,0,0.730297,0
DISTRIBUCIONES ANTIOQUIA SAS,0.040571321,0.003223,0.023864,0.098981,0.114172,0,0.479557,0
DISTRIBUCIONES DIAZ RAMOS S.A.S.,0.047216598,0.005516,0.028349,0.075517,0.054232,2.39759,2.481902,0
DISTRIBUIDORA COLOMBIANA DE SENTIMIENTOS DE BELLEZA S.A.S.,0.019379767,0,0.010114,0.070966,0.040894,0,1.128894,0
DISTRIBUIDORA DE  COMBUSTIBLES EL SOL S.A.S.,0.020360921,0,0.017161,0.034066,0.042846,0.903967,2.625081,0
DISTRIBUIDORA DE HIDROCARBUROS DE COLOMBIA SAS,0.007008595,0.000597,0.005174,0.002239,0.015308,0,0.649388,0
DISTRIBUIDORA DE LLANTAS PARA COLOMBIA DILLANCOL SA,0.099150985,0.032187,0.056315,0.290676,0.173724,0.59231,0.722744,0
DISTRIBUIDORA DE PRODUCTOS Y MEDICAMENTOS ANESTESICOS LTDADISTRIBUIDORA DE PRODUCTOS Y MEDICAMENTOS ANESTESICOS LTDA,0.155447166,0.052198,0.071115,0.248744,0.045193,0.561192,0.849919,0
DISTRIBUIDORA DE TIENDAS SAS,3.99696E-05,0.006287,-0.004416,0.025911,0.021683,0.001182,0.539514,0
DISTRIBUIDORA LIQPARR S.A.S,0.009640274,0.008376,0.000172,0.022789,0.079167,0.128338,0.252213,0
DISTRIBUIDORA PEVEGAL SAS,0.039330801,0,0.037805,0.110266,0.127841,2.175403,1.879818,0
DISTRIENDAS DEL EJE CAFETERO SAS,0.027425775,0.018942,0.0062,0.038965,0.071416,0.782284,0.561691,0
