fecha_publicacion,candidato,titulo_video,vistas,likes,comentarios,suscriptores_canal,engagement_rate,engagement_por_1000
2025-02-09,Vicky Dávila,"Mi Análisis sobre el Liderazgo, Cambio y Oportunidades para Colombia | Vicky Dávila en La W",2968,182,65,334000,6.13,0.74
2025-02-09,Vicky Dávila,Las propuestas para Colombia: Mi Entrevista  en la FM,1710,89,28,334000,5.2,0.35
2025-02-09,Vicky Dávila,"¡A los que NO CREEN en mí, esto es para ustedes! 💥 | Vicky Dávila RESPONDE",24343,1061,342,334000,4.36,4.2
2025-02-09,Vicky Dávila,Mi Nuevo Camino por Colombia 🇨🇴,390603,13780,150,334000,3.53,41.71
2025-02-09,Vicky Dávila,Cambiemos Colombia  Hacia la Prosperidad y la Unidad,165183,3921,57,334000,2.37,11.91
2025-02-09,Vicky Dávila,El país que imaginamos para todos: un futuro mejor es posible,36853,4934,29,334000,13.39,14.86
2025-02-09,Vicky Dávila,¿Qué Podemos Aprender de la Gente Común?,79703,6209,48,334000,7.79,18.73
2025-02-09,Vicky Dávila,La educación y el trabajo es un tesoro,57601,3328,30,334000,5.78,10.05
2025-02-08,Vicky Dávila,Mi Opinión sobre el Gobierno de Petro: Realidad o Fracaso,1627,153,39,334000,9.4,0.57
2025-02-08,Vicky Dávila,Entrevista Exclusiva: Mi Historia  y lo que espero para el país,5295,247,63,334000,4.66,0.93
2025-02-08,Vicky Dávila,Ya las Mujeres estamos listas,520,16,5,334000,3.08,0.06
2025-02-06,Vicky Dávila,El reality show del Gobierno de Petro / #vickydávila,3630,401,24,334000,11.05,1.27
2025-02-06,Vicky Dávila,¡NO SOY COMO LOS POLÍTICOS DE SIEMPRE! Colombia merece un cambio 🇨🇴🔥 #shorts,8079,828,65,334000,10.25,2.67
2025-02-05,Vicky Dávila,"YO NO SIGO MODELOS! No soy Bukele, Milei ni Trump, soy Vicky Dávila 🇨🇴",1187,72,44,334000,6.07,0.35
2025-02-05,Vicky Dávila,¡NO USÉ EL PERIODISMO! Estoy sacrificando lo que más amo por Colombia 🇨🇴 #colombia,6005,501,51,334000,8.34,1.65
2025-02-05,Vicky Dávila,¿Qué me motivó a dar este paso por Colombia?,126165,375,503,334000,0.3,2.63
2025-02-05,Vicky Dávila,¡BASTA DE IMPUESTOS ABUSIVOS! La propuesta 10-10-10 explicada 🚨,1028,102,14,334000,9.92,0.35
2025-02-03,Vicky Dávila,"🔴 ¡YO, NUNCA DE IZQUIERDA! No más mentiras sobre mi postura política&quot;🔴",11095,857,50,334000,7.72,2.72
2025-02-01,Vicky Dávila,"“Atajen a Vicky Dávila... o lo lamentarán”, directora de SEMANA responde a titular en El Espectador",82071,8572,2038,334000,10.44,31.77
2025-02-01,Vicky Dávila,Gustavo Petro provoca a Trump: ¿Busca sanciones para Colombia?,6299,676,90,334000,10.73,2.29
2025-02-01,Vicky Dávila,Trump vs. Petro: ¿Estrategia para deslegitimar elecciones en Colombia?,2281,254,67,334000,11.14,0.96
2025-01-16,Vicky Dávila,Urgente: con este equipo empezamos a trabajar para reconstruir a Colombia,8138,788,226,334000,9.68,3.04
